,Tweet,Stemmed,Sentimen
189, nah kan akhirnya bpn prabowo sandiaga membuka rahasia kecurangan hasil input data kpuid sebanyak  yang kemarin, akhir bpn prabowo sandiaga buka rahasia curang hasil input data kpuid banyak  kemarin ,-1
190, kalau aplikasi situng membuka peluang untuk kesalahan input  memang sebaiknya di stop  perbaiki dulu  artinya, kalau aplikasi situng buka luang salah input  memang baik stop  perbaiki dulu  artinya ,-1
191, kpkri spertinya harus memeriksa kpuid semoga banyak yg ketangkep amin, kpkri spertinya periksa kpuid moga banyak ketangkep amin ,-1
192, kalo kpu bilang makan taik, kpu bilang makan taik ,-1
193, permintaan rizieq shihab hentikan situng kpu dinilai aneh, minta rizieq shihab hentikan situng kpu dinilai aneh ,-1
194, pengamat intelijen eks kopassus ada operasi cipta kondisi seolah kpu tidak curang, intelijen eks kopassus operasi cipta kondisi kpu curang ,-1
195, yang saya kawatirkan nanti perhitungan kpu hasilnya beda  perhitungan dari tim  dan nanti menetapkan perhitungan, kawatirkan hitung kpu hasilnya beda  hitung tim  tetap hitung ,-1
196, terlalu banyak selisih suara yang dicurangi kpuid makanya ketahuan, lalu banyak selisih suara dicurangi kpuid makanya tahu ,-1
197, maaf prof inilah kalo udah membela kpuid  yang curang jadi ngehitungnya ikut hitung kpu, maaf prof inilah udah bela kpuid  curang jadi ngehitungnya ikut hitung kpu ,-1
198, selain tutup situng komisioner kpu juga harus dijerat pidana, tutup situng komisioner kpu dijerat pidana ,-1
199, kpuid salah di tegur bertahan kepada kesalahannya dungu, kpuid salah tegur tahan salah dungu ,-1
200, sudah terpecah pak makanya jangan ditambah lagi kpu dan bawaslu pastikan kudu bener kasihan pemilu, pecah makanya jangan ditambah kpu bawaslu pastikan bener kasihan pemilu ,-1
201, ternyata ruang kpu cuma macam kantor kalurahan sempit dan peralatan tidak memadai t cuma dihargai segitu, nyata ruang kpu macam kantor kalurahan sempit alat t dihargai segitu ,-1
202, perhatian sampai sekarang data pada kpu belum diperbaiki human error atau urutan manusia, perhati sekarang data kpu diperbaiki human error urut manusia ,-1
203, sudah  kali kami ke bawaslu menyerahkan bukti kecurangan pemilu termasuk meminta bawaslu untuk melihat proses input data di kpu,  kali bawaslu serah bukti curang pemilu masuk minta bawaslu lihat proses input data kpu ,-1
204, pak ketua dan anggota kpuid apakah kalian semua tidak takut dengan allah tidak bisa kalian ambil pelajaran dari kisah, ketua anggota kpuid kalian semua takut allah kalian ambil ajar kisah ,-1
205, kpuid perampok suara rakyat, kpuid rampok suara rakyat ,-1
206, fariomeda kpuid suara yang naik duluan gak perlu revisi yang mau naik belakangan ini yang perlu revisi duh kacau, kpuid suara naik duluan perlu revisi naik belakang perlu revisi duh kacau ,-1
207, kpuid klo sama duit tunduk gak wan masabudiman hati ya inget lho ada ketua kpu meninggal setelah selesai bertugas, kpuid klo sama duit tunduk masabudiman hati inget lho ketua kpu tinggal selesai tugas ,-1
208, kalau kemudian ada orang yang minta agar real count situng didrop disetop ini kan aneh demokrasi semakin maju alat, kalau kemudian minta real count situng didrop disetop aneh demokrasi makin maju alat ,1
209, komplek mega permai   mana suaranya kesalahan input kpu di tps  kelurahan padang sarai komplek mega permai  kota padang, komplek mega permai  mana suaranya salah input kpu tps  lurah padang sarai komplek mega permai  kota padang ,-1
210, mimin kpuid yg tersayang kapan postingan saya juga di like gitu seperti mimin like postingan si nganu ngene ngono yang, mimin kpuid sayang kapan postingan like gitu mimin like postingan ,-1
211, kpuid omdo aja lu ah, kpuid omdo lu ,-1
212, versi  may   min min kpuid masih belum diperbaiki padahal sudah  min situng kpu masih buat, versi  may  kpuid diperbaiki padahal  situng kpu buat ,-1
213, kpu hasil pemilu tak ditentukan it semua orang juga sudah tahu tapi kenapa situng kpu terus melakukan input data, kpu hasil pemilu ditentukan it semua beri situng kpu terus laku input data ,-1
214, kesamaan antara ruang situng kpuid dan warnet cafe bisa lihat kesamaannya, sama ruang situng kpuid warnet cafe lihat sama ,-1
215, kpuid  kenyataan mana lagi yang ingin kau dustakan kerja kotor seperti ini akan kau bayar mahal goblok, kpuid  nyata mana kau dustakan kerja kotor kau bayar mahal goblok ,-1
216, kpuid ngibul saja kau tunggu saja adzab nya, kpuid ngibul kau tunggu adzab ,-1
217, situng masih di percaya ketua kpu sendiri bilang kalau memang banyak, situng percaya ketua kpu sendiri bilang kalau memang banyak ,1
218, cek di situs hitung kpuid  untuk jaksel saja masih banyak yang kosong  gimana nih, cek situs hitung kpuid  jaksel banyak kosong  gimana ,-1
219, sebaiknya situng kpu dihentikan karena terlalu banyak orang errornya, baik situng kpu dihentikan lalu banyak errornya ,-1
220,  tolong kawal itu kpu pak jangan curang terus salah input kok tiap menit, kawal kpu jangan curang terus salah input tiap menit ,-1
221, viral copas bpn   bangkit bawa bukti  lebih kesalahan input situng kpu it bpn desak, viral copas bpn  bangkit bawa bukti  lebih salah input situng kpu it bpn desak ,-1
222, btw duit kampanye banyak penyumbang misterius kpu berani putusin, duit kampanye banyak sumbang misterius kpu berani putusin ,-1
223, setelah ditekan oleh ijtima ulama sampai  pun ikut komentar usulan audit forensik kpuid dan selalu ditolak, ditekan ijtima ulama  ikut komentar usul audit forensik kpuid selalu ditolak ,-1
224, kpuid bawasluri sangat miris kejadian seperti ini, kpuid bawasluri sangat miris jadi ,-1
225, begoknya fadlizon itu lihat jangan nyinyir doang terbukti server kpu berantakan, begoknya fadlizon lihat jangan nyinyir doang bukti server kpu berantak ,-1
226, ungkap tentang backend dan frontend sistem it bang rizal ramli menyatakan bahwa pada dasarnya rakyat tidak terima dengan, ungkap backend frontend sistem it bang rizal ramli nyata dasarnya rakyat terima ,-1
227,  kayak kpu aja pak salah input, kpu salah input ,-1
228, kpu pangkalpinang selesaikan rekapitulasi di tujuh kecamatan, kpu pangkalpinang selesaikan rekapitulasi tujuh camat ,1
229, kpuid memalukan t, kpuid palu t ,-1
230, hampir semua orang melihat ada kecurangan bawaslu juga sudah mengakui ada kecurangan dan ketidak netralnya ribuan kpps, hampir semua lihat curang bawaslu curang ketidak netralnya ribu kpps ,-1
231, banyak yang sudah melaporkan kejanggalan input data di kpuid yang penuh rekayasa dan, banyak lapor janggal input data kpuid penuh rekayasa ,-1
232, nih pendapat dokter survey dan ahli it dari itb yang melaporkan dugaan kecurangan lembaga survei dan situng kpuri ke bawasluri, dokter survey ahli it itb lapor duga curang lembaga survei situng kpuri bawasluri ,-1
233, kpuid dari cara mereka menyukai tweet tersebut terlihat sekali bagaimana moralnya orang kpu dasar sampah, kpuid cara suka tweet sebut lihat kali bagaimana moralnya kpu dasar sampah ,-1
234, dukung habis kpu sudah bekerja dengan maksimal tanpa berpihak, dukung habis kpu kerja maksimal pihak ,1
235, kpu bayaran taipan partisipan  hanya memikirkan perutnya sendiri tak punya rasa cinta bangsa , kpu bayar taipan partisipan  pikir perutnya sendiri punya rasa cinta bangsa ,-1
236, quickcount disuruh berhenti realcount juga disuruh berhenti hidup kalian menderita banget sih sama angka aja pada takut, quickcount disuruh henti realcount disuruh henti hidup kalian derita banget sama angka takut ,1
237, suara untuk jokowi harus  tetapi mengapa kpu menghitung  kesalahan manusia atau ketertiban manusia, suara jokowi  kpu hitung  salah manusia tertib manusia ,-1
238, kenapa situng kpu ngga bisa diakses, situng kpu diakses ,-1
239, kpuid bingung saya liat sikap kpu ini, kpuid bingung liat sikap kpu ,-1
240, ini yang namanya ruang it kpu seperti ruang karaoke tidak mengambarkan ruang elite yang dibayar mahal oleh rakyat  apa kerja kpu, namanya ruang it kpu ruang karaoke mengambarkan ruang elite dibayar mahal rakyat  kerja kpu ,-1
241, dahsyat tim it prabowo laporkan  kesalahan input ke bawaslu bukti yang ada menunjukkan kpuid bertindak sangat, dahsyat tim it prabowo laporkan  salah input bawaslu bukti tunjuk kpuid tindak sangat ,-1
242, jadi apa alasanmu kpuid   bpn datangi bawaslu bawa bukti , jadi alas kpuid  bpn datangi bawaslu bawa bukti ,-1
243, warning semua pada kaget lihat video ketua kpu tunjukkan ruang it kpu saya perlu informasikan itu bukan ruang it kpu, warning semua kaget lihat video ketua kpu tunjukkan ruang it kpu perlu informasikan bukan ruang it kpu ,1
244, sampai sekarang teknologi informasi it kpu yang canggih dan menghabiskan dana milyar rupiah telah gagal memenuhi, sekarang teknologi informasi it kpu canggih habis dana milyar rupiah gagal penuh ,-1
245, kalau  jumlahnya itu bukan lagi salah input itu namanya salah niat pak ketua  kpuid , kalau  jumlahnya bukan salah input namanya salah niat ketua  kpuid ,-1
246, kpuid pendusta kalian semua jangan harap rakyat akan diam dengan kecurangan yang telah kalian lakukan secara brutal ini, kpuid dusta kalian semua jangan harap rakyat diam curang kalian lakukan cara brutal ,-1
247, anak sekolah libur awal puasa   hari libur hari raya   hari total libur   hari versi kpuid, anak sekolah libur awal puasa  hari libur hari raya  hari total libur  hari versi kpuid ,-1
248, betul ikhtiar juga harus total apapun hasil dari kpu nanti kita tunggu arahan dari ulama kita, betul ikhtiar total apapun hasil kpu tunggu arah ulama ,1
249, kpu habiskan duit sia, kpu habiskan duit ,-1
250, hoax  kontainer surat suara masuk penjara hoax server kpu di setting orang nya masuk penjara hoax , hoax  kontainer surat suara masuk penjara hoax server kpu setting masuk penjara hoax ,1
251, kpuid jahat, kpuid jahat ,-1
252, kpuid bukan kesalahan input itu tapi memang sengaja kpuid otakmu isinya apa, kpuid bukan salah input memang sengaja kpuid otakmu isinya ,-1
253, sekali dua kali salah input data wajarlah kalau ratusan kali bahkan ribuan kali apa itu bukan , kali kali salah input data wajarlah kalau ratus kali bahkan ribu kali bukan ,-1
254, berlama dengan entry data yang unfaedah diduga hanya untuk menghindari silpasitung publikasi yang tidak bermanfaat, berlama entry data unfaedah diduga hindar silpasitung publikasi manfaat ,-1
255, karena ada kendala dalam memasukkan data keuangan ke sistem it dan aplikasi pelaporan yang dibuat oleh komisi pemilihan, kendala masuk data uang sistem it aplikasi lapor dibuat komisi pilih ,-1
256, banyak bacot kalo ada kecurangan tinggal lapor ke bawaslu nanti, banyak bacot curang tinggal lapor bawaslu ,1
257, kpu mengatakan tidak menutup diri dari koreksi para pihak, kpu kata tutup diri koreksi pihak ,1
258, kita percayakan saja dengan kpuid  tidak usah sok ngatur segala kita juga dukung  di  ini untuk, percayakan kpuid  usah ngatur segala dukung   ,1
259, mulai hari ini rakyat dan bpn harus mengantisipasi terjadinya krisis politik akibat kegagalan kpuid dan pemerintah, mulai hari rakyat bpn antisipasi jadi krisis politik akibat gagal kpuid perintah ,-1
260, situng kpuid banyak menampilkan data keliru makanya tidak usah sok pakai istilah real count karena itu sama saja dengan pembodohan, situng kpuid banyak tampil data keliru makanya usah pakai istilah real count sama bodoh ,-1
261, kpuid udah ada lagi laporan bagai euy bisa menjalan kan komputer tidak sih buka, kpuid udah lapor bagai menjalan komputer buka ,-1
262, kpuid komisi penipu umat, kpuid komisi tipu umat ,-1
263, viral copas bpn   bangkit bawa bukti  lebih kesalahan input situng kpu it bpn desak bawasluri hentikan, viral copas bpn  bangkit bawa bukti  lebih salah input situng kpu it bpn desak bawasluri hentikan ,-1
264, audit forensik kpu, audit forensik kpu ,-1
265, kok gue curiga kpuid bawasluri divhumaspolri gue tanya kalian gak kongkalikong kan pemilu tahun ini hancur, curiga kpuid bawasluri divhumaspolri tanya kalian kongkalikong pemilu tahun hancur ,-1
266, gue gedek enek muak dengan kpuid  saat ini, gedek enek muak kpuid  ,-1
267, miris  video mengintip server kpu yang dinilai kelas warungan  sedih, miris  video intip server kpu dinilai kelas warungan  sedih ,-1
268, kpu juga sering bikin hoax tuh sering salah input klo ga dikoreksi rakyat adem anyem aja jadi deh hoax, kpu sering hoax sering salah input klo dikoreksi rakyat adem anyem jadi hoax ,-1
269, tidak salah semangati kpu tapi lebih penting menyemangati dirinya agar tetap sehat, salah semangati kpu lebih penting semangat dirinya tetap sehat ,1
270, untuk kpuid serta jokowi dan kroni semoga allah melaknat kalian di dunia dan akhirat demi allah kalian sudah melampaui batas, kpuid jokowi kroni moga allah laknat kalian dunia akhirat allah kalian lampau batas ,-1
271, bener banget kpuid kemana duit kami kalian gunakan untuk apa duit rakyat itu, bener banget kpuid duit kalian gunakan duit rakyat ,-1
272, dari prof tamburin semoga bawaslu masih adil dan cepat tanggap menyelesaikan kisruh ini semoga kpu pun segera netral, prof tamburin moga bawaslu adil cepat tanggap selesai kisruh moga kpu segera netral ,1
273, kubu sebelah ini nggak percaya sama kpu nggak percaya sama bawaslu ujungnya nanti kalo mk nggak bisa memuaskan keinginan, kubu belah percaya sama kpu percaya sama bawaslu ujungnya mk puas ,1
274, tunggu saja hasil keputusan kpu siapa yang menang itulah presiden berikutnya selama  tahun, tunggu hasil putus kpu siapa menang presiden ikut lama  tahun ,1
275, suara  tergerus bukan hanya di situng kpu tapi juga saat rekap per kabupaten suara  di sampang menyusut ppk kedungdung, suara  gerus bukan situng kpu rekap per kabupaten suara  sampang susut ppk kedungdung ,-1
276, kalau pertandingan bola wasit punya hak untuk memberi hukuman walaupun pelatih berkoar, kalau tanding bola wasit punya hak beri hukum walaupun latih koar ,1
277, kalau liat begitu cepat dan masivenya entry data yang salah di it kpu dan angka, kalau liat cepat masivenya entry data salah it kpu angka ,-1
278, ketua kpu didesak mundur  kenapa ketua kpu kan dipilih oleh dpr apa karena kinerjanya tidak memuaskan, ketua kpu didesak mundur  ketua kpu dipilih dpr kinerjanya puas ,-1
279, curanglah kalian akan menuai badai, curanglah kalian tuai badai ,-1
280, bagaimana mau hitung percentage kesalahan input kpu kalau url mati, bagaimana hitung percentage salah input kpu kalau url mati ,-1
281, lempar batu sembunyi tangan, lempar batu sembunyi tangan ,-1
282, kalau  yang menang seminggu pasti udah rampung realcount kpuid tapi karna  yg menang sengaja dilamain, kalau  menang seminggu udah rampung realcount kpuid karna  menang sengaja dilamain ,-1
283, waduh ketularan kpuid masa pak sbyudhoyono presiden ri ke , waduh tular kpuid masa presiden ri ,-1
284, mohon dikoreksi tayangan real count kpuid terimakasih, mohon dikoreksi tayang real count kpuid terimakasih ,-1
285, kpuid telah dicurigai sebagai penjahat elektronik yang memberikan, kpuid dicurigai bagai jahat elektronik beri ,-1
286, ketua kpuid harusnya mundur saja, ketua kpuid harusnya mundur ,-1
287, diminta diskualifikasi capres dan setop real count kpu tak tunduk pada siapa pun, diminta diskualifikasi capres setop real count kpu tunduk siapa ,1
288, ada pemungutan suara hingga . kesalahan manusia atau human error, pemungutan suara hingga . salah manusia human error ,-1
289, massa di bogor beri julukan kpu komplotan pengkhianat umat, massa bogor beri juluk kpu komplot khianat umat ,-1
290, stop situng kpu, stop situng kpu ,-1
291, bawa bukti ke bawaslu tim it bpn laporkan   kesalahan input situng kpu, bawa bukti bawaslu tim it bpn laporkan  salah input situng kpu ,-1
292, itu mah bikin seneng ketua kpu arif budiman yang tiada arifnya apalagi berbudi dalam hidupnya akhlak tidak sesuai namanya, seneng ketua kpu arif budiman tiada arifnya hidupnya akhlak suai namanya ,-1
293, memang kpu perbaikilah dulu ga usah defensif dan bikin nalar publik jadi bego ini bukan soal  , memang kpu perbaikilah dulu usah defensif nalar publik jadi bego bukan soal  ,-1
294, kpu hasil pemilu tak ditentukan it semua orang juga sudah tahu tapi kenapa situng kpu terus melakukan input data, kpu hasil pemilu ditentukan it semua beri situng kpu terus laku input data ,-1
295, selamat pagi masbro selamat berakhir pekan perjuangan tetap berlanjut terus geber kpuid perampok suara rakyat, selamat pagi selamat akhir pekan juang tetap lanjut terus kpuid rampok suara rakyat ,-1
296, terjadi kesalah input situng kpu ini terjadi di kab labura kec damuli desa damuli pekan tps  perolehan pilpres di , jadi kesalah input situng kpu jadi desa pekan tps  pilpres ,-1
297, top markotop kpu kami tidak tunduk pada rizieq lewat beritasatu, kpu tunduk rizieq lewat ,1
298, ini kemaren salah tanggal sekarang salah menyebut nomor apa ini disengaja untuk mencari, kemaren salah tanggal sekarang salah sebut nomor disengaja cari ,-1
299, kpuid tukang tipu rakyat yang ditipu tinggal tunggu waktu, kpuid tukang tipu rakyat ditipu tinggal tunggu waktu ,-1
300, warning anak kecil aja menganggap server sewaan kpu sangat mudah di terobos coba tanya anak paud deh pasti mereka, warning anak kecil anggap server sewa kpu sangat mudah terobos coba tanya anak paud ,-1
301, syaiton kpu makar lagi, syaiton kpu makar ,-1
302, innalilahi wa inna ilaihi rojiuun jangan siakan perjuangan mereka dengan kecurangan yah, innalilahi wa jangan siakan juang curang yah ,-1
303, kpuid suara yang naik duluan gak perlu revisi yang mau naik belakangan ini yang perlu revisi duh kacau, kpuid suara naik duluan perlu revisi naik belakang perlu revisi duh kacau ,-1
304, harusnya serukan juga pilpres jangan curang kpu harus jujur bahaya imperialisme cina lewat obor dan jerat utangnya, harusnya serukan pilpres jangan curang kpu jujur bahaya imperialisme cina lewat obor jerat utangnya ,-1
305, jika kesalahan input suara disengaja anggota kpu terancam penjara, salah input suara disengaja anggota kpu ancam penjara ,-1
306, semoga bawaslu masih adil dan cepat tanggap menyelesaikan kisruh ini semoga kpu pun segera netral, moga bawaslu adil cepat tanggap selesai kisruh moga kpu segera netral ,1
307, halo kpu anda bisa membodohi mereka namun tidak bisa membodohi kami , kpu membodohi membodohi ,-1
308, semoga kawan seperjuangan kita ini baik saja mereka berdualah yang berhasil membongkar masalah kebocoran server kpu, moga kawan seperjuangan baik hasil bongkar masalah bocor server kpu ,-1
309, kpu ini bukan manusia, kpu bukan manusia ,-1
310, ngaco kpuid, ngaco kpuid ,-1
311, kalau di daerah yang menang percaya kpu kalau di daerah yang kalah tidak percaya, kalau daerah menang percaya kpu kalau daerah kalah percaya ,1
312, aksi bolak balik presentase yang dilakukan oleh situng kpu sungguh luar biasa bisa menghilangkan suara  sampai  juta, aksi balik presentase dilakukan situng kpu sungguh luar biasa hilang suara   juta ,-1
313, kpuid bukan goblok tapi bloon, kpuid bukan goblok bloon ,-1
314, manipulasi form c di kota banyuwangi kecamatan kalifuro halo kpuid gimana ini, manipulasi form c kota banyuwangi camat kalifuro kpuid gimana ,-1
315, salah entri alasan kpu server kpu hanya buat pajangan doang yang input data , salah entri alas kpu server kpu buat pajang doang input data ,-1
316, kejahatan oknum kpu kembali terjadi di tps  gerung utara yang di upload c palsu untuk memenangkan paslon , jahat oknum kpu jadi tps  gerung utara upload c palsu menang paslon ,-1
317, wahai kpuid hentikan sandiwara kalian jangan pertonton kepada rakyat negeri kesalahan input situng, wahai kpuid hentikan sandiwara kalian jangan pertonton rakyat negeri salah input situng ,-1
318, kpu tuman harus gimana kita bang, kpu gimana bang ,-1
319, betul banget ini contoh nya mikir sebelum nyiyir pengurus gerindra yang jadi anggota kpu tangsel sembunyi, betul banget contoh mikir nyiyir urus gerindra jadi anggota kpu tangsel sembunyi ,-1
320, kesalahan entri data situng kpu bukanlah kecurangan melainkan human error, salah entri data situng kpu bukanlah curang human error ,1
321, part  pokoknya kpu gak ada benernya dimata yang kalah kata prof  dan apa yg dikatakan prof mahfud, part  pokoknya kpu benernya dimata kalah kata prof  dikatakan prof mahfud ,1
322, kpuid dukungan dan support kami tak pernah surut maju terus pantang mundur dengan, kpuid dukung support pernah surut maju terus pantang mundur ,1
323, kpuid tgpf di tolak audit di tolak kan maling, kpuid tgpf tolak audit tolak maling ,-1
324, lah terus petugas yang input di kpu kerjanya ngapain cuma ngoreksi yang salah doang ajaib pisan, terus tugas input kpu kerjanya ngapain ngoreksi salah doang ajaib pisan ,-1
325, pleno rekapitulasi suara kpu pekalongan diprotes saksi dan bawaslu , pleno rekapitulasi suara kpu pekalongan diprotes saksi bawaslu ,-1
326, salah imput mulu yang merugikan , salah imput mulu rugi ,-1
327, situng kpu disusupi c palsu suara jokowi di medan naik protes bermunculan tuding kpu palsukan form c yang diinput di situng, situng kpu disusupi c palsu suara jokowi medan naik protes muncul tuding kpu palsukan form c diinput situng ,-1
328, tidak sekalian selisih  juta  menang , kali selisih  juta  menang ,-1
329, dari data situng kpu     sampai sekarang  terus, data situng kpu  sekarang  terus ,-1
330, sudah disaran oleh kpuid agar kedua paslon dan relawan jangan klaim kemenang masih saja bpn syukuran, disaran kpuid paslon relawan jangan klaim kemenang bpn syukur ,1
331, mahasiswa bergerak kawan mahasiswa lampung gruduk kpu lampung semoga menular ke daerah lain jangan diam , mahasiswa gerak kawan mahasiswa lampung gruduk kpu lampung moga tular daerah jangan diam ,-1
332, kpuid kpuri bawasluri menyesuaikan dengan quickcount , kpuid kpuri bawasluri suai quickcount ,-1
333, mantul tidak usah dengar si berisik itu memang dia pikir dia siapa lanjutkan perhitungan, mantul usah dengar berisik memang pikir siapa lanjutkan hitung ,1
334, sistem it kpu dirancang mengikuti quickcount jika ada suara yang memenangkan prabowo masuk maka otomatis ada tps yang suara, sistem it kpu dirancang ikut quickcount suara menang prabowo masuk otomatis tps suara ,-1
335, kpuid wah tuman, kpuid wah ,-1
336, kata wahyu  kpu tidak tunduk oleh tekanan dari manapun saya mau tanya kalo sama duit dan jabatan tunduk gak , kata  kpu tunduk tekan manapun tanya sama duit jabat tunduk ,-1
337, fadlizon setelah lihat situng kpu fz langsung jadi ciut mirip, fadlizon lihat situng kpu langsung jadi ciut mirip ,1
338, untuk bawasluri  dkppri  kpuid  inilah salah contoh lagi kecurangan pemilu paling brutal menggunakan modus tps tambahan, bawasluri  dkppri  kpuid  inilah salah contoh curang pemilu paling brutal modus tps tambah ,-1
339, saya heran klaim kemenangan  sudah deklarasi kemenangan sudah sujud syukur juga sudah kok masih teriak kpu curang, heran klaim menang  deklarasi menang sujud syukur teriak kpu curang ,1
340, kpu garut telah merampungkan proses rapat pleno rekapitulasi hasil pemilu  hasilnya pasangan prabowo sandiaga sapu bersih suara, kpu garut rampung proses rapat pleno rekapitulasi hasil pemilu  hasilnya pasang prabowo sandiaga sapu bersih suara ,1
341, luar biasa tim it bpn  temukan  kesalahan input data situng kpuid bukti sudah diserahkan ke bawasluri kesal, luar biasa tim it bpn  temukan  salah input data situng kpuid bukti diserahkan bawasluri kesal ,-1
342, kpuid dengan sikap mu yang terus membuat kesalahan yang menguntungkan  berarti kamu itu tunduk sama mereka, kpuid sikap mu terus buat salah untung  arti kamu tunduk sama ,-1
343, dikasih rb saja sudah kelimpungan apalagi ditambah  versi kpu, dikasih kelimpungan ditambah  versi kpu ,-1
344, kpuid kalau sudah gila susah untuk belajar, kpuid kalau gila susah ajar ,-1
345, setuju pak wahyu maju terus semoga allah senantiasa melindungi dan memudahkan urusan bapak dan kpu, tuju maju terus moga allah senantiasa lindung mudah urus bapak kpu ,1
346,  nyawa melayang berujung curang kek gini teriak saya pancasila , nyawa layang ujung curang kek gini teriak pancasila ,-1
347, ada  kesalahan input di situng kpu sampai tanggal  mei  bukan hanya  kesalahan seperti pengakuan,  salah input situng kpu tanggal  mei  bukan  salah ,-1
348, hari ini di jakarta  mei  relawan it bpn prabowo sandiaga melapor ke kpuid ke bawasluri mereka menemukan , hari jakarta  mei  relawan it bpn prabowo sandiaga lapor kpuid bawasluri temu ,-1
349, masuk kpu langsung salah input data, masuk kpu langsung salah input data ,-1
350, ayo tularkan perdamaian di seantero nusantara dukung kerja kpu dan bawaslu para ulama habaib dan tokoh, tularkan damai antero nusantara dukung kerja kpu bawaslu ulama habaib tokoh ,1
351, selain bpn laporkan situng kpu ke bawaslu bpn juga ajukan tuntutan agar situng kpu dihentikan karena memang terlalu banyak salah, bpn laporkan situng kpu bawaslu bpn ajukan tuntut situng kpu dihentikan memang lalu banyak salah ,-1
352,kpu curang abis,kpu curang abis ,-1
353,kpuid haqqul yaqin,kpuid haqqul yaqin ,1
354,kpuid bajingan politik,kpuid bajing politik ,-1
355, karena ada kendala dalam memasukkan data keuangan ke sistem it dan aplikasi pelaporan yang dibuat oleh komisi pemilihan umum, kendala masuk data uang sistem it aplikasi lapor dibuat komisi pilih umum ,-1
356, kpuid o gitu yang disebar di tps itu c fotocopy tapi data suaranya asli sedangkan c aspal, kpuid o gitu disebar tps c fotocopy data suaranya asli sedang c aspal ,-1
357, si andre sudah mirip kpu sama suka merubah sejarah dari salah input sampai salah ngomong mudah dia segera sadar, mirip kpu sama suka merubah sejarah salah input salah ngomong mudah segera sadar ,-1
358, kpuid server secanggih apapun tidak ngaruh pada hasil hitungan manual berjenjang, kpuid server secanggih apapun ngaruh hasil hitung manual jenjang ,-1
359, kpuid semoga kebenaran segera terungkap aamiin ya allah, kpuid moga benar segera ungkap aamiin allah ,-1
360, kepercayaan ke lembaga penyelenggara pemilu kpuid sekarang ini jadi polemik dan dipertanyakan, percaya lembaga selenggara pemilu kpuid sekarang jadi polemik dipertanyakan ,-1
361, fadlizon saya setuju banget bapak ke kpu tolong liat pak kalau ada kecurangan dll kalau pada akhirnya bos bapak kalah lagi terima aja, fadlizon tuju banget bapak kpu liat kalau curang kalau akhir bapak kalah terima ,1
362, bawaslu akan tindaklanjuti laporan bpn prabowo sandiaga soal situng kpu, bawaslu tindaklanjuti lapor bpn prabowo sandiaga soal situng kpu ,-1
363, saya sangat setuju dengan pendapat kpu jangan mau di intervensi para ulama gadungan bajingan, sangat tuju kpu jangan intervensi ulama gadungan bajing ,1
364, gemblung ulama jangan diikuti jelas kecurangan secara vulgar dipertontonkan dan disajikan oleh kpu malah minta dipercaya, gemblung ulama jangan diikuti jelas curang cara vulgar dipertontonkan disajikan kpu malah minta dipercaya ,-1
365, tai human error kpuid human error lo buat menangin mukidi human error lo buat ngancurin bangsa, tai human error kpuid human error buat menangin mukidi human error buat ngancurin bangsa ,-1
366, kpu lagi giring opini publik rcount kpu sudah masuk   yang di input jawa tengah   seolah   unggul sementara wilayah, kpu giring opini publik rcount kpu masuk  input jawa tengah   unggul wilayah ,-1
367, efek dari maen ke kpu kemarin itu jadi koslet juga si prof, efek maen kpu kemarin jadi koslet prof ,-1
368, kpuid dapat m harusnya, kpuid m harusnya ,1
369, coba cek latar belakang komisioner kpuid jangan kpu kita sudah disusupi pki boleh donk rakyat curiga, coba cek latar belakang komisioner kpuid jangan kpu disusupi pki rakyat curiga ,-1
370, paling bisanya alasan macam dan jurus ngeles kok di kpu real count sementara   aja yang unggul bisa input data, paling bisanya alas macam jurus ngeles kpu real count  unggul input data ,-1
371, dan akhirnya tipi arab yang diwakili oleh aljazera memberitakan bentuk kecurangan yang terjadi di pilpres  ayo gimana, akhir tipi arab diwakili aljazera berita bentuk curang jadi pilpres  gimana ,-1
372, kpuid mantul bro hahaha, kpuid mantul bro ,1
373, audit forensik kpu, audit forensik kpu ,-1
374, trus pelaku salah input di situng kpu kok susah dilacak pak tolonglah cepat atasi ini ingat suara rakyat, trus laku salah input situng kpu susah dilacak tolonglah cepat atasi ingat suara rakyat ,-1
375, kpuid rakyat dibuat repot akibat ketidak profesionalan kpuid, kpuid rakyat dibuat repot akibat ketidak profesionalan kpuid ,-1
376, sebenarnya kecurangan apa lagi yang dicari apa tidak cukup curang yang masyarakat pertontonkan melalui youtube, benar curang dicari cukup curang masyarakat pertontonkan lalu youtube ,1
377, kpuid rekrut anak sma lebih bertanggung jawab untuk gantikan orang, kpuid rekrut anak sma lebih bertanggung jawab gantikan ,-1
378, kpuid nggak bisa diatur  atur  hanya patuh ke uu pret, kpuid diatur  atur  patuh uu pret ,-1
379, it kpu hanya media penampil bukan penghitung karena tahu kalah mereka buat framing quickcount settingan dengan angka dan sistem yang dikunci, it kpu media penampil bukan penghitung beri kalah buat framing quickcount settingan angka sistem dikunci ,1
380, sebaiknya bersabar menunggu pengumuman kpu  mei  hentikan klaim kemengan siapapun terpilih itulah presiden, baik sabar tunggu umum kpu  mei  hentikan klaim kemengan siapapun pilih presiden ,1
381, hanya yang memiliki akal sehat akan mengatakan adanya praktek kecurangan dibalik salah input situng kpu untuk memenuhi, milik akal sehat kata praktek curang dibalik salah input situng kpu penuh ,-1
